Title,Description,Labels,List,Moved
Machine learning,"",Tools,HOLD,FALSE
AgileLite,https://github.com/davebs/AgileLite,Techniques,HOLD,FALSE
Ember,"",Programming Languages and Frameworks,HOLD,FALSE
TDD,"",Techniques,INDEX,FALSE
Agile,"",Techniques,INDEX,FALSE
Ruby on Rails,"",Programming Languages and Frameworks,INDEX,FALSE
Ruby,"",Programming Languages and Frameworks,INDEX,FALSE
Github,"",Tools,INDEX,FALSE
C#,"",Programming Languages and Frameworks,INDEX,FALSE
Java,"",Programming Languages and Frameworks,INDEX,FALSE
JS,"",Programming Languages and Frameworks,INDEX,FALSE
PostgreSQL,"",Tools,INDEX,FALSE
MySQL,"",Tools,INDEX,FALSE
Kotlin (Android development),"",Programming Languages and Frameworks,INDEX,FALSE
Swift (ios Development),"",Programming Languages and Frameworks,INDEX,FALSE
Brightscript/Brightsign (roku development),"",Programming Languages and Frameworks,INDEX,FALSE
